,link,price,beds,baths,sqft,parking_features,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size_sqft,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,has_hoa,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn
16500 Lake Forest Blvd,https://www.redfin.com/OR/Lake-Oswego/16500-Lake-Forest-Blvd-97035/home/26024466,"$549,900",3,1,960,"Driveway, On Street",1,Attached,1,Electricity,Yes,1,Crawl Space,Composition,,"9,000 square feet",Residential,960,Yes,1970,Electricity,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
19251 Indian Creek Ave,https://www.redfin.com/OR/Lake-Oswego/19251-Indian-Creek-Ave-97035/home/25832535,"$705,000",3,2,"1,551","Driveway, On Street",1,Attached,1,"Gas, Tankless",,,Crawl Space,Composition,"10,018","10,026 square feet",Residential,"1,551",Yes,1971,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
3672 Tempest Dr,https://www.redfin.com/OR/Lake-Oswego/3672-Tempest-Dr-97035/home/26074486,"$1,230,000",3,3,"3,317","Driveway, Off Street",2,"Attached, Extra Deep",2,Gas,Yes,3,Crawl Space,Composition,,0.26 acres,Residential,"1,604",Yes,1983,"Gas, Solar",Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
12815 Sierra Vista Dr,https://www.redfin.com/OR/Lake-Oswego/12815-Sierra-Vista-Dr-97035/home/26059678,"$1,104,850",4,2.5,"2,944",,,,,,,,No,,,"6,000 square feet",,,,1990,,,,,,2.0,Single Family Residential,—,Clackamas County,
5552 Yorkshire Pl,https://www.redfin.com/OR/Lake-Oswego/5552-Yorkshire-Pl-97035/home/25766714,"$1,150,000",4,2.5,"2,637","Driveway, Off Street",2,Attached,2,Gas,Yes,2,,,"7,405","7,300 square feet",Residential,"1,277",No,1992,Gas,Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
4000 Carman Dr Unit A4,https://www.redfin.com/OR/Lake-Oswego/4000-Carman-Dr-97035/unit-A4/home/26066305,"$275,000",1,1,836,"Carport, Off Street",,Undeeded,,Electricity,Yes,1,,Tile,,—,Residential,836,Yes,1988,Electricity,"All Landscaping, Commons, Exterior Maintenance, Gym, Insurance, Management, Party Room, Pool, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
16819 Allen Rd,https://www.redfin.com/OR/Lake-Oswego/16819-Allen-Rd-97035/home/25865217,"$6,500,000",4,3.5,"4,882","Driveway, Off Street",4,"Attached, Detached",4,Gas,Yes,3,Crawl Space,Composition,"13,068",0.3 acres,Residential,"2,156",Yes,2007,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
3232 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/3232-Lakeview-Blvd-97035/home/25763974,"$5,300,000",4,5.5,"8,170","Driveway, Secured",2,"Attached, Oversized",2,Gas,Yes,7,,Metal,,"9,820 square feet",Residential,"1,956",Yes,2000,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
6159 Fernbrook Cir,https://www.redfin.com/OR/Lake-Oswego/6159-Fernbrook-Cir-97035/home/26084142,"$612,094",3,1,912,,,,,,,,,,,"10,817 square feet",,,,1963,,,,,,1.0,Single Family Residential,—,Clackamas County,
16 Grouse Ter,https://www.redfin.com/OR/Lake-Oswego/16-Grouse-Ter-97035/home/26642690,"$850,000",3,2.5,"2,627","Driveway, Off Street",2,Attached,2,Gas,Yes,1,"Daylight, Finished",Composition,"10,018","9,860 square feet",Residential,"1,153",Yes,1990,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1990,Multnomah County,No
86 Kingsgate Rd Unit E102,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-E102/home/77467903,"$258,800",2,2,924,Carport,,Deeded,,Electricity,Yes,1,,Composition,,—,Residential,924,No,—,Electricity,Public Sewer,No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
86 Kingsgate Rd #77,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-77/home/26092289,"$293,950",2,2,849,,,,,,,,,Concrete Tile,,—,,,,1985,,,,,,—,Condo/Co-op,—,Clackamas County,
44 Greenridge Ct,https://www.redfin.com/OR/Lake-Oswego/44-Greenridge-Ct-97035/home/25993484,"$550,000",3,2.5,"1,996","Driveway, Other",2,Detached,2,Gas,Yes,2,Crawl Space,Composition,,"2,338 square feet",Residential,"1,000",No,1970,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
86 Kingsgate Rd #43,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-43/home/26063774,"$299,145",2,2,924,,,,,,,,,Concrete Tile,,—,,,,1985,,,,,,—,Condo/Co-op,—,Clackamas County,
4991 Centerwood St,https://www.redfin.com/OR/Lake-Oswego/4991-Centerwood-St-97035/home/26041116,"$983,000",4,2.5,"2,433",Driveway,2,Attached,2,"Gas, Tankless",Yes,3,Crawl Space,Composition,,"10,888 square feet",Residential,"2,262",No,1976,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
86 Kingsgate Rd Unit G102,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-G102/home/101712581,"$310,000",2,2,849,Carport,,Deeded,,Electricity,Yes,1,,Composition,,—,Residential,849,No,—,Electricity,"Maintenance Grounds, Management, Pool, Recreation Facilities, Sewer, Trash, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
16411 SW Lake Forest Blvd,https://www.redfin.com/OR/Lake-Oswego/16411-Lake-Forest-Blvd-97035/home/26022103,"$820,000",3,2,"2,180",,1,"Attached, Oversized",1,Electricity,Yes,1,Crawl Space,,"8,712","8,721 square feet",Residential,"1,500",No,1955,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
4319 Harvey Way,https://www.redfin.com/OR/Lake-Oswego/4319-Harvey-Way-97035/home/25943416,"$625,000",3,2.5,"1,685","Driveway, On Street",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,,"8,094 square feet",Residential,885,Yes,1979,Gas,Public Sewer,No,,No,2.0,Single Family Residential,—,Clackamas County,No
4652 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/4652-Lower-Dr-97035/home/26061876,"$391,300",2,1.5,"1,170","Covered, Off Street",,Carport,,,Yes,1,,Composition,,—,Residential,630,Yes,1975,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
63 Oswego,https://www.redfin.com/OR/Lake-Oswego/63-Oswego-Smt-97035/home/26384537,"$218,000",1,1,764,Other,1,Other,1,Electricity,,,,Tile,,—,Residential,764,Yes,1978,Electricity,"All Landscaping, Basketball Court, Commons, Exterior Maintenance, Gym, Maintenance Grounds, Management, Pool, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water",Yes,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
3585 Sunwood Ct,https://www.redfin.com/OR/Lake-Oswego/3585-Sunwood-Ct-97035/home/26031468,"$2,249,900",4,4,"3,853","Driveway, Off Street",3,Attached,3,"ENERGY STAR Qualified Equipment, Tankless",Yes,2,Crawl Space,Composition,"11,761",0.27 acres,Residential,"1,754",No,2023,"Electricity, Gas",Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,Yes
19151 SW Marlin Ct,https://www.redfin.com/OR/Lake-Oswego/19151-Marlin-Ct-97035/home/188638074,,4,3.5,"3,898",,,,,,,,,,,0.36 acres,,,,2023,,,,,,—,Single Family Residential,—,Clackamas County,
4688 Upper Dr,https://www.redfin.com/OR/Lake-Oswego/4688-Upper-Dr-97035/home/144480860,"$2,085,000",4,3.5,"3,962",Driveway,3,Attached,3,"Gas, Tankless",Yes,1,,Composition,"19,602",0.45 acres,Residential,"2,339",Yes,2017,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,No
14190 Amberwood Cir,https://www.redfin.com/OR/Lake-Oswego/14190-Amberwood-Cir-97035/home/26014798,"$1,000,000",4,3,"3,154",Driveway,3,"Attached, Oversized",3,"Gas, Tank",Yes,1,Crawl Space,"Composition, Shingle","8,712","8,681 square feet",Residential,"1,524",Yes,1987,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
5254 Westfield Ct,https://www.redfin.com/OR/Lake-Oswego/5254-Westfield-Ct-97035/home/25942845,"$1,300,000",4,2.5,"3,346",Driveway,3,Attached,3,Gas,Yes,1,Crawl Space,Shake,,"10,141 square feet",Residential,"1,673",Yes,1988,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
4638 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/4638-Lower-Dr-97035/home/26028282,"$307,500",2,1.5,"1,260",,,None,,Electricity,,,"Finished, Full Basement",Composition,,—,Residential,630,No,1975,Electricity,Public Sewer,No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4324 Woodside Cir,https://www.redfin.com/OR/Lake-Oswego/4324-Woodside-Cir-97035/home/26078684,"$579,000",2,2,"1,210","Driveway, On Street",2,Detached,2,Electricity,Yes,1,Crawl Space,Composition,,"2,213 square feet",Residential,"1,210",Yes,1979,"Electricity, Gas",Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
110 Greenridge Ct,https://www.redfin.com/OR/Lake-Oswego/110-Greenridge-Ct-97035/home/25993429,"$527,000",3,2.5,"2,868","Off Street, Other",2,Attached,2,Gas,Yes,1,"Daylight, Finished, Storage Space",Composition,,"1,919 square feet",Residential,"1,020",No,1973,Gas,Public Sewer,No,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
4487 Westbay Rd,https://www.redfin.com/OR/Lake-Oswego/4487-Westbay-Rd-97035/home/25924517,"$1,200,000",3,2,"1,869",Driveway,2,Detached,2,Electricity,Yes,2,,Membrane,"11,325",0.26 acres,Residential,"1,869",Yes,1953,Oil,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
